Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,
aids,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
aids,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,
aids,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,
acne,skin_rash,pus_filled_pimples,blackheads,scurrying,,,,,,,,,,,,,
acne,pus_filled_pimples,blackheads,scurrying,,,,,,,,,,,,,,
acne,skin_rash,blackheads,scurrying,,,,,,,,,,,,,,
acne,skin_rash,pus_filled_pimples,scurrying,,,,,,,,,,,,,,
acne,skin_rash,pus_filled_pimples,blackheads,,,,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking,,,,,,,,,,,,
arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking,,,,,,,,,,,,,
arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking,,,,,,,,,,,,,
arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking,,,,,,,,,,,,,
arthritis,muscle_weakness,stiff_neck,swelling_joints,painful_walking,,,,,,,,,,,,,
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,,,,,,,,,,,,,
bronchial_asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,
bronchial_asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
bronchial_asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,,,,,,,,,,,,
bronchial_asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,,,,,,,,,,,,
bronchial_asthma,fatigue,cough,high_fever,breathlessness,family_history,,,,,,,,,,,,
bronchial_asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
bronchial_asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
cervical_spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
cervical_spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
cervical_spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,fever,malaise,red_spots_over_body,,,,,,,
chicken_pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chicken_pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
chronic_cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
chronic_cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,
chronic_cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
chronic_cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
common_cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
common_cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,
